label,annual_return,annual_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,total_return,n_years,alpha,beta,alpha_tstat
Static WML,-0.036,0.1136,-0.32,-0.37,-0.5238,-0.07,0.4405,-0.4012,14.0,-0.0041,-0.1494,-0.14
Vol-Scaled WML,-0.0228,0.1028,-0.22,-0.28,-0.4273,-0.05,0.4405,-0.2758,14.0,0.0025,-0.1163,0.09
Beta-Filtered Vol-Scaled,0.0369,0.0885,0.42,0.51,-0.1647,0.22,0.5357,0.6588,14.0,0.0065,0.1928,0.3
Dynamic Weighting (D&M 2016),-0.0032,0.1064,-0.03,-0.04,-0.3027,-0.01,0.4464,-0.0433,14.0,0.0036,-0.0062,0.13
Beta-Filtered Dynamic,0.0329,0.0903,0.36,0.4,-0.1783,0.18,0.5357,0.572,14.0,0.0046,0.1826,0.21
Long-Only (top quintile),0.0726,0.1334,0.54,0.62,-0.3169,0.23,0.5774,1.6612,14.0,-0.0228,0.583,-1.15
EW Benchmark,0.1692,0.1907,0.89,1.1,-0.3984,0.42,0.6845,7.8831,14.0,,,
